Company Name,Job Posting Time,Number of Applicants,Seniority Level,Company Industry,Detail description,Employment Type,Job Function,Size of Employee,Keyword
Agoda,1 week ago,63,Associate,Internet,"About Agoda  Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.    The Performance Marketing Team of Agoda is a world leader in online marketing. This department is highly data-driven and focused on developing at-scale marketing programs that improve the lifetime value of Agoda customers through measurable marketing programs and channels. The team is a blend of the best analysts, marketing strategists, and data scientists in the world. The marketing leadership at Agoda have deep experience in data science, product, strategy, and other marketing fields and have built an organization that thrives on data, creative ideas, and technology. The Performance Marketing Team also fosters a great learning environment. You will be able to learn and grow by working closely with experts from a variety of backgrounds from all over the world.              At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.  We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .  To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.  Show more",Full-time,Information Technology,,Data Analyst
Xendit,1 week ago,<25,Entry level,"Computer Software,Internet,Financial Services","Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces, disburse payroll and loans, provide KYC solutions, prevent fraud, and help businesses grow exponentially. We serve our customers by providing a suite of world-class APIs, eCommerce platform integrations, and easy to use applications for individual entrepreneurs, SMEs, and enterprises alike.  Our main focus is building the most advanced payment rails for Southeast Asia, with a clear goal in mind — to make payments across in SEA simple, secure and easy for everyone. We serve thousands of businesses ranging from SMEs to multinational enterprises, and process millions of transactions monthly. We've been growing rapidly since our inception in 2015, onboarding hundreds of new customers every month, and backed by global top-10 VCs. We're proud to be featured on among the fastest growing companies by Y-Combinator.      The fraud team is building innovative fraud prevention products with the aim of securing online payments for businesses across Southeast Asia. By leveraging AI and machine learning on the vast amounts of transactional and identity data collected across the years, we are well positioned to help reduce the ~USD 300 million(1.6% of revenue) in losses due to fraud experienced by Southeast Asia's businesses. This will help businesses focus on growth without fearing about losses due to fraud.  Data analysts in the fraud team are responsible for deriving insights from the multiple data sources that we have to inform product decisions with regards to feature engineering, model building etc. They are also responsible for building monitoring dashboards to detect potential fraud and therefore helping our merchants and Xendit to prevent losses due to fraud.  We are looking to expand the suite of features for our fraud detection product and are looking for passionate data analysts who have a deep interest in data, applied sciences or machine learning to join our team in building a scalable fraud prevention product for Southeast Asia. Join us if you would like to contribute to our cause in making the payment space safer and free of fraud and abuse.        Show more",Full-time,Information Technology,,Data Analyst
"EWAYSINDO MAKMUR, PT",2 weeks ago,30,Entry level,Management Consulting,Company Description: Eways is a customer relationship marketing company that enables clients to build profitable customer relationships by managing the customer lifecycle process and increasing their value to the company Job Description: Objectives of this Role   Daily and Monthly Responsibilities Show more,Full-time,Information Technology,,Data Analyst
PT Mega Akses Persada (FiberStar),1 month ago,>200,Entry level,Telecommunications,"Company Description: Established in 2014, FiberStar has grown to be nationwide infrastructure service provider. Fiber Optic is the backbone for future digitalization where this media has a constant higher speed, high level of security, wide coverage and capacity of data transmission much larger when compared to existing technologies. Job Description: Show more",Full-time,Information Technology,,Data Analyst
PT Star Cosmos,1 month ago,>200,Entry level,Electrical/Electronic Manufacturing,"Company Description: PT Star Cosmos didirikan pada tahun 1976 oleh Bpk. Ir. Alam Surjaputra. Pemilihan kata Cosmos berasal dari bahasa Yunani kuno, KOSMOS, yang berarti kehidupan di jagad raya. Misi saat itu adalah sebagai alternatif terhadap produk - produk rumah tangga dari Jepang. Kami melakukan transfer teknologi dengan Goldstar (sekarang LG) dalam hal technical collaboration di tahun 1991 untuk lebih memperbaiki quality dan system kerja kami dalam memproduksi barang-barang merek Cosmos Job Description: Data Analyst (Improvement Officer) Show more",Full-time,Information Technology,,Data Analyst
PT Link Net Tbk,3 weeks ago,>200,Mid-Senior level,Telecommunications,"The ideal candidate will be responsible for using their analytical mindset to analyze for upsell program, create an analysis & insight based on result and reduce customer downgrade. This candidate will feel comfortable using SQL and Tableu application.   Show more",Contract,"Analyst,Sales,Business Development",,Data Analyst
Michael Page,3 months ago,111,Associate,Financial Services,Data Analyst / BI - Fintech Work in one of the highest performing startup High variety of use cases with latest technology  About Our Client  Our client is a leading Fintech startup with high social vision to help the underserved. They have made it possible for individuals to have accessibility to financial products.               Show more,Full-time,Information Technology,,Data Analyst
ITB Career Center,2 months ago,46,Associate,"Information Technology and Services,Computer Software,Retail","Job Description  The Head of Data Analyst leads the data analytics team and oversees the activities of the junior personnel. In this role, he/she ensures that the business in its various divisions understands its own health, finds growth levers, and identifies opportunities for optimization. He/she leads the business through all efforts that drive business performance and potential by using the existent and new data sources and techniques.  The Head of Data Analyst additionally leads the data analytics team in the development of a departmental culture, policies, and strategy. The role will involve he/she getting his hands dirty and solving hard analytical problems for the business, reporting directly to the Head of Product Management.  Responsibility     Requirement      Show more",Full-time,Information Technology,,Data Analyst
Sayurbox,2 months ago,>200,Mid-Senior level,"Marketing and Advertising,Internet,Consumer Goods","Sayurbox is a provider of fresh produce to household (B2C) and restaurants (B2B).  Our vision is to make fresh produce and products from farms and producers available and accessible to everyone, along with our missions (i) To be the go-to fresh produce platform and ecosystem, (ii) Innovative and top class customer experience, and (iii) Improve efficiency and transparency in the agri-supply chain. However, it is always a work in progress to seek further potential and challenge.           Powered by JazzHR  41oUJvqugM Show more",Full-time,"Business Development,Sales",,Data Analyst
Bank OCBC NISP,4 weeks ago,>200,Associate,Banking,"Job Description : Membuat dan menyediakan analisa mendalam yang bersifat reguler/periodik dan yang bersifat adhoc terhadap setiap target segment nasabah di setiap tribe atau squad. Memastikan report, insight, dashboard yang dihasilkan berdasarkan kualitas data terbaik, valid, lengkap dan up to date.  Show more",Full-time,"Analyst,Other",,Data Analyst
PT. Mega Central Finance,1 month ago,57,Associate,"Banking,Financial Services","Company Description: PT. Mega Central Finance sedang membutuhkan SDM baru untuk mengembangkan sayap usaha di kota-kota besar. PT. Mega Central Finance adalah perusahaan pembiayaan kendaraan bermotor yang merupakan salah satu perusahaan dari kelompok usaha CT CORP yang memiliki beberapa perusahaan dalam sector bisnis lainya, seperti : Bank Mega, Trans TV, Trans 7,Trans Studio,Carrefour, Coffee Bean, Metro. kami membutuhkan karyawan untuk ditempatkan di posisi yang tersebar baik di Kantor Pusat Jakarta dan seluruh Kantor Cabang, dari posisi Staff hingga posisi Managerial Job Description: Show more",Full-time,Information Technology,,Data Analyst
Ninja Van,1 month ago,>200,Associate,"Information Technology and Services,Computer Software,Financial Services","Ninja Van is a tech-enabled logistics company on a mission to provide hassle-free delivery services for businesses of all sizes across Southeast Asia. Launched in 2014, we started operations in Singapore and have become the region's largest and fastest growing last-mile logistics company, partnering with over 35,000 merchants and delivering more than 1,000 parcels every minute across six countries.  At our core, we are a technology company that is disrupting a massive industry with cutting-edge software and operational concepts. Powered by algorithm-based optimisation, dynamic routing, end-to-end tracking and a data-driven approach, we provide best-of-class delivery services that delight both the shippers and end customers. But we are just getting started! We have much room for improvement and many ideas that will further shape the industry.        By applying to the job, you acknowledge that you have read, understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection, use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorised by you to disclose your personal data to us for the purposes set out in the the Notice. Show more",Full-time,"Business Development,Sales",,Data Analyst
PT. Finansia Multi Finance,1 month ago,109,Associate,"Banking,Financial Services","Company Description: PT Finansia Multi Finance dengan brand Kredit Plus, didirikan pada tanggal 9 Juni 1994 dan per 31 Januari 2013 telah mempunyai 311 lokasi kantor yang tersebar di seluruh Indonesia. Memegang ijin usaha untuk menjalankan roda usaha pembiayaan, anjak piutang dan kartu kredit. Merupakan suatu badan usaha bersama dua perusahaan multi nasional (satu perusahaan gabungan profesional Indonesia dan Singapura dan satu perusahaan Amerika) Job Description: Show more",Full-time,Information Technology,,Data Analyst
Gojek,2 weeks ago,182,Associate,"Computer Software,Internet,Financial Services","About The Role  As our Growth Analyst on the Financial Services Platform, you'll take the wheel in utilizing our voluminous data to improve acquisition, activation, retention, and loyalty for our Financial Services products. You'll drive the Growth team's analytics projects across different products, diving deep into a complex pool of data to present relevant insights, propose strategic options, and formulate data-driven business decisions with senior management. You'll also discover growth opportunities for our financial products through conducting various experimentation and test. Your work will directly enhance and streamline our financial services, and get us even closer to ensuring financial inclusion for all Indonesians.        The Financial Services stream at Gojek is passionate about empowering our users with the tools to be financially responsible. The Financial Services Growth team is a small team of 6 members based in Jakarta, Indonesia. We are at the center of the stream's go-to-market and strategy decisions, where we work to direct each product towards the right solutions by tackling issues through exploratory data analyses and rapid experimentation. Imagine a blend of data analysis, marketing, statistical testing, and product management - that sweet spot is where we're at.  We're a team that's always willing to get our hands dirty, meaning we're responsible for analyzing, designing, and also executing. We believe that high impact comes from high accountability. If you're a data whiz who enjoys the collaborative nature of solving business problems, we'd love to have you join our family.    Gojek is a Super App. It’s one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and dozen other products. It is Indonesia’s first and only decacorn. It's also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.'  To create and scale positive socio-economic impact for our customers, driver-partners, business and MSMEs.  As of 2018, Gojek processed more than $9 billion annualised gross transaction value across all markets where it operates - in Singapore, Thailand, Vietnam and Indonesia. We have the largest food delivery product in Asia, (outside of China), and the largest payments wallet in Southeast Asia.  Our investors include Google, Facebook, PayPal, Sequoia Capital, Tencent Holdings among others.  Show more",Full-time,"Finance,Sales",,Data Analyst
Andalin,3 days ago,127,Mid-Senior level,Internet,"About Andalin As technology advances at a faster pace every day, international trade has become much more borderless and competitive. Andalin is a digital freight forwarder, we develop and combine the latest internet based technology with years of industry experience to provide our clients with bespoke international supply chain services ensuring their competitiveness in the global market.    Show more",Full-time,"Research,Strategy/Planning,Analyst",,Data Analyst
Ogilvy,3 months ago,54,Associate,"Marketing and Advertising,Information Technology and Services,Human Resources","We are looking to hire a Senior Analyst to join our Data Team. You will take responsibility for managing data strategy for Indonesia’s biggest brands, developing reports, and identifying upcoming trends across culture, consumer and categories. To do well in this role you need a very fine eye for detail, experience as a data analyst, and deep understanding of the popular data analysis tools and databases.                          Show more",Full-time,"Research,Analyst,Information Technology",,Data Analyst
Fore Coffee,2 weeks ago,>200,Mid-Senior level,"Information Technology and Services,Computer Software,Internet","Deliver insight, analysis using statistical tools, data visualization and business use case to stakeholders Perform ad-hoc business analysis, to drill down on certain business challenges, providing conclusions and advice based on data analysis    Show more",Full-time,"Business Development,Sales",,Data Analyst
Ralali.com - B2B Marketplace,2 weeks ago,37,Associate,"Marketing and Advertising,Online Media,Internet","Job Description  & requirements We’re looking for top-notch talents to help us scale up our first and largest end-to-end B2B Ecosystem in Indonesia. If you’re up for fast-paced environments and ready to rejuvenate impactful energy to our ecosystem, then this will be a golden opportunity for you! In this role, you will be analyzing performance within each business unit and the entire ecosystem so that it can provide insights for the internal team in determining action or strategic items.        Sales & Marketing Business Development & Partnerships Analytics Analytics & Reporting Business Analysis Data Analysis Analytical Skills Show more",Full-time,"Business Development,Sales",,Data Analyst
Tjetak,16 hours ago,120,Entry level,Information Technology and Services,Direct message the job poster from Tjetak Hasandi Patriawan Building Tjetak,Full-time,"Product Management,Marketing",,Data Analyst
FinAccel,3 weeks ago,108,Associate,"Computer Software,Internet,Financial Services","Responsibilities  The roles and responsibilities include the following (but not limited to)  The Business Analyst (Operations) analyzes customer-related data to aid business in credit approval monitoring, customer issue monitoring, staff KPI monitoring and customer behavior analysis to identify insights that can improve business processes, systems and process efficiency.    Show more",Full-time,"Business Development,Sales",,Data Analyst
PT Salam Pacific Indonesia Lines,2 weeks ago,>200,Entry level,"Logistics and Supply Chain,Consumer Goods,Package/Freight Delivery",Direct message the job poster from PT Salam Pacific Indonesia Lines Ryan C. P. Talent Acquisition Manager at PT Salam Pacific Indonesia Lines,Full-time,"Sales,Marketing",,Data Analyst
Ritase.com,3 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Job Description  & requirements As a Data Engineer, you will be responsible for  Job requirement  Perks that you will receive at Ritase    Data Management Data Warehouse Databases SQL Show more",Full-time,Information Technology,,Data Analyst
Lazada,2 days ago,>200,Mid-Senior level,"Internet,Consumer Goods,Apparel & Fashion",Direct message the job poster from Lazada Anastasia Magdalena Talent Acquisition at Lazada Group,Full-time,"Management,Business Development,Analyst",,Data Analyst
ndigital ,2 months ago,>200,Mid-Senior level,"Computer Software,Internet,Financial Services","About the Role:  You will be responsible for assessing, prioritizing, and developing data and reporting infrastructure for the stakeholders, including Business, Sales, Compliance, Marketing as well as your fellow product managers. As part of developing this infrastructure, you will need to assess and choose the technology and vendor that fit the requirements. You immerse with the world of data, and not afraid of dealing with enormous unstructured data.  Job Description:     Powered by JazzHR  vL8KFfkZsw Show more",Full-time,"Product Management,Marketing",,Data Analyst
Blue Bird Group,1 week ago,<25,Associate,Transportation/Trucking/Railroad,Direct message the job poster from Blue Bird Group Ferrizal Azwar Head Of Analytics at Blue Bird Group,Full-time,Information Technology,,Data Analyst
Fabelio,1 month ago,184,Mid-Senior level,Furniture,"Product Manager (PM) will lead a squad comprising of Associate Product Managers, Data Analyst, UI/UX Designer, and a lot of Software Engineers (Backend, Frontend, and Quality Assurance).  Job Description Show more",Full-time,Other,,Data Analyst
eFishery,14 hours ago,<25,Associate,Electrical/Electronic Manufacturing,Direct message the job poster from eFishery Ivan Nashara Product Management,Full-time,"Engineering,Information Technology",,Data Analyst
Traveloka,1 week ago,<25,Entry level,Internet,"Payments – Data Analyst  Job Description  Traveloka is a Southeast Asian internet unicorn focused on travel and mobility. Currently we are rapidly expanding in the region and globally. To achieve this, we need to ensure that we have a world class payment system that is seamless for our customers.  As a Data Analyst (DA) in the payments group, you will need to understand the entire payment flow, from booking to checkout across different methods & geographies. You will be required to provide timely analytics, as well as product recommendations to shape the future of Traveloka's payment systems. DAs are critical roles within our business and you know that you can make the greatest impact by gaining in-depth and comprehensive business domain knowledge.  In turn, we'll provide you with a mature analytics environment to work in. Reproducibility and full version control is a default in our systems so that you can easily learn from your teammates and build on foundations that have already been developed. Our collaborative team will ensure that you're more productive than you've ever been in a few short months.  Our tech stack: BigQuery, dbt, Python, Github, Google Data Studio, Plotly Dash, Airflow, Google Cloud Build                  Show more",Full-time,Information Technology,,Data Analyst
Havas Group Indonesia,2 weeks ago,58,Mid-Senior level,"Marketing and Advertising,Online Media,Broadcast Media",Direct message the job poster from Havas Group Indonesia Dermia Hasianty HR Professional,Full-time,"Marketing,Strategy/Planning,Advertising",,Data Analyst
iSearch Indonesia,2 days ago,38,Entry level,,"We are a Recruitment Consulting firm. The client is one of the most prestigious multinational FMCG company with brands all over the world. We are assisting them to look for a seasoned Data Analyst with details as follows;  Job Description  Design and develop analytics solution to solve business problems, including developing data calculation / processing logic and data visualization   Use case / Projects execution   Understands data source context, fields, dimensions, and metrics   Translate business requirement into technical analytics requirements (data source mapping, query / data processing logic, visualization)   Delivery of ad-hoc request for business team   Work with all stakeholder to understand their problems and create innovative analytics-based solutions for them.   Manage and monitor model performance and regularly perform updates as necessary   Proactively conducts advanced statistical analysis to provide actionable insights, identify trends, and measure performance   Deliver analytics value enablement. Direct business impact based on data / analytics initiatives     Experienced in insight generation using Data Mining / Descriptive Analytics / Exploratory Data Analysis techniques   Preferably experienced in designing and conducting experiments (e.g. A/B Testing) and able to apply proper statistical inference techniques   Understanding of Data Science discipline: Exploratory Data Analysis,  Machine Learning, Predictive and Prescriptive Analytics   Preferable experienced in advanced data modeling   Full stack communicator, Storytelling and visualization skill.   Understanding of Data Architecture concept (ETL, Data Warehousing, Data  Mart, Data Lake)   Understand the practical applications of analytics and the technology to  make it happen.   Programing skill: SQL (minimum) Python, R (preferable)   Proficiency in using BI visualization tools (e.g. Power BI, Tableau) Show more",Full-time,Information Technology,,Data Analyst
People First Recruitment,10 hours ago,<25,Entry level,"Information Technology and Services,Staffing and Recruiting,Financial Services","Please follow us on WeChat to see all our Cantonese and Mandarin jobs, interview tips and London news:  Your New Mandarin Job Title: Mandarin Chinese speaking Data Analyst - Banking, London Fluent Mandarin and English, relevant Data Analyst experience, Knowledge of Power BI, Tableau, or similar Business Intelligence tools.  c£50k + bonus + benefits.  London  To be successful in this role our client has said it is essential that candidates:  Have fluent Mandarin and English,  relevant Data Analyst experience,  knowledge of Power BI, Tableau, or similar Business Intelligence tools.  If that means this job isn’t a match for you please view our other vacancies for one that may be a better fit.      create, organise and maintain the Data Warehouse  produce the MI reports.  This will be an opportunity to develop core data analyst skills in banking industry.    Perm  ASAP  9-5 with flexibility when necessary    We would be grateful if you could send your CV as a Word document. If your application is successful, you will be contacted within 7 days. We regret that due to the high volume of applications we receive we cannot provide feedback on individual CVs. Please note that we can only consider candidates who are eligible to work in the UK and are able to provide relevant supporting documentation.  People First is committed to increasing diversity, and maintaining an inclusive workplace culture. We welcome applications from all qualified candidates regardless of their ethnicity, race, gender, religious beliefs, sexual orientation, age, marital status or whether or not they have a disability.  People First (Recruitment) Limited acts as an employment agency for permanent and fixed term contract recruitment and as an employment business for the supply of temporary workers. Please note that by applying for this job you accept our Terms of Use and Privacy Policy which can be found on our website.  A new Show more",Full-time,Information Technology,,Data Analyst
Lamudi.co.id | Teman Terpercaya Cari Properti,1 month ago,52,Entry level,"Marketing and Advertising,Internet,Financial Services","Are you a data rock star? Do you enjoy developing a framework for scale able reporting and supporting sales? Are you looking for a challenge that allows you to use and enhance your analytical skills?  This role will prepare you for defining and analyzing Key Performance Indicators (KPIs), developing standard data sources for sales partners. You will learn a lot about deploying and refining best practice forecasting progress.      Show more",Full-time,Human Resources,,Data Analyst
Grab,1 month ago,44,Entry level,"Information Technology and Services,Computer Software,Financial Services",Job Description:  Job Description:      Show more,Full-time,"Finance,Information Technology",,Data Analyst
Quipper,4 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","We are looking for a certified Data Analyst with a passion for education. The successful candidate will turn data into information, information into insight, and insight into decisions for the Content department in Indonesia and Phillippines.    Data analyst responsibilities include conducting full life cycle analysis to include requirements, activities, and design for the Content department. Data analysts will configure/develop an environment for analysis with reporting capabilities. They will also monitor performance and quality control plans to identify improvements.  The job includes but is not limited to the following:    Are you interested and passionate to revolutionize education? Apply now and be a Distributor of Wisdom. Send your application from the button below. Show more",Full-time,Information Technology,,Data Analyst
Jakmall.com,2 days ago,57,Associate,"Marketing and Advertising,Telecommunications,Consumer Services",Job Description  & requirements  Job Description      Merchandising Google Analytics Data Analysis Show more,Full-time,"Marketing,Sales",,Data Analyst
Arcstone Pte. Ltd.,2 days ago,44,Entry level,Computer Software,"Job Description  & requirements In order to provide the best possible solutions to our clients, Arcstone requires exceptional talent ever ready to assume key roles in meeting our client’s varied manufacturing needs. We are looking for talented problems solvers who can not only bring creative and practical solutions, but who are also always passionate to learn on the job.  As a Manufacturing Deployment Analyst (stationed in Indonesia), you will be directly responsible for guiding our customers in their deployment, use and integration of Arcstone’s toolsets. You will be working closely with our team of talented developers and Digital Manufacturing Analysts to ensure that customers are able to maximise the value of our products and smoothly integrate it with their own processes. An MDA is the first point of contact between customers and Arcstone, providing them with close guidance and support as well as collecting feedback and data to better enhance our toolsets and capabilities.         MySQL Product Management Business Analysis Communication Skills Project Management Show more",Full-time,Information Technology,,Data Analyst
DotX,3 days ago,68,Entry level,Information Technology and Services,Direct message the job poster from DotX Charlie Chandra I implement HR/Payroll systems for enterprises - reducing risks & overhead costs while increasing business value.,Full-time,"Engineering,Information Technology",,Data Analyst
ITB Career Center,2 months ago,<25,Associate,"Information Technology and Services,Computer Software,Retail","Job Description  The Senior Data Analyst oversees the activities of the junior data analyst personnel and reports directly to the Head Data Analyst. The Senior Data Analyst develops business solutions through the constant modification of the existing business intelligence solutions.  The Senior Data Analyst oversees and conducts the conversion of data into insights that will lead to informed business decisions. He/she works directly with stakeholders and the business’s top management and executives within the assigned departments. The Senior Data Analyst will have to handle multiple simultaneous tasks, prioritize work, and remain functional under pressure, and aggressive timelines.  Responsibility     Requirement      Show more",Full-time,Information Technology,,Data Analyst
Michael Page,3 months ago,25,Associate,Financial Services,"Senior BI / Data Analyst - Digital Payment Work closely with key leaders in a lean team Fast-growing startup environment  About Our Client  Our client is the fastest growing SME focused startup in Indonesia, solving real problems of financial management for SMEs and millions of business owners through technology revolution in Indonesia. Built by seasoned entrepreneurs as Founders and backed by top venture capital firms and prominent investors, aiming to deliver results and embracing new challenges every day.               Show more",Full-time,Information Technology,,Data Analyst
Agoda,1 week ago,<25,Associate,Internet,"About Agoda  Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.    The Performance Marketing Team of Agoda is a world leader in online marketing. This department is highly data-driven and focused on developing at-scale marketing programs that improve the lifetime value of Agoda customers through measurable marketing programs and channels. The team is a blend of the best analysts, marketing strategists, and data scientists in the world. The marketing leadership at Agoda have deep experience in data science, product, strategy, and other marketing fields and have built an organization that thrives on data, creative ideas, and technology. The Performance Marketing Team also fosters a great learning environment. You will be able to learn and grow by working closely with experts from a variety of backgrounds from all over the world.              At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.  We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .  To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.  Show more",Full-time,Information Technology,,Data Analyst
Gojek,1 week ago,161,Associate,"Computer Software,Internet,Financial Services","About The Role  As a Growth Analytics Lead on the Financial Services Platform, you will be responsible to utilise our voluminous data to improve acquisition, activation, retention, and loyalty for our product. You will be driving the analytics projects of the Growth team across different products, ultimately enabling the Financial Services team to make data-driven decisions.        At Gojek’s Financial Services Platform Team, we wake up thinking about better ways to expand access to savings, insurance, loans, and investments to all Indonesians. We build financial products with partners and deploy at scale to our hundreds of thousands of GoFood merchants, 1 million+GoRide/GoCar drivers, tens of millions of users. We’re looking for talented new colleagues to join us on our mission of universal access to financial services.    Gojek is a Super App. It’s one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and dozen other products. It is Indonesia’s first and only decacorn. It's also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.'  To create and scale positive socio-economic impact for our customers, driver-partners, business and MSMEs.  As of 2018, Gojek processed more than $9 billion annualised gross transaction value across all markets where it operates - in Singapore, Thailand, Vietnam and Indonesia. We have the largest food delivery product in Asia, (outside of China), and the largest payments wallet in Southeast Asia.  Our investors include Google, Facebook, PayPal, Sequoia Capital, Tencent Holdings among others.  Show more",Full-time,Other,,Data Analyst
Traveloka,1 week ago,<25,Entry level,Internet,"Traveloka is a Southeast Asian tech unicorn with core businesses in travel and financial services. Currently we are rapidly expanding in the region. Offering financial services to underbanked populations provides the opportunity for tremendous innovation, and requires balancing risk that does not exist in other domains. With our expanding product and market footprint, we have several openings in our PayLater business.  As a Data Analyst (DA) in the PayLater group at Traveloka, you will work in a diverse team of Data Analysts, Scientists and Engineers as critical partners to the business. Our focus is on growing a sustainable lending business by providing our customers with a responsible and convenient form of credit.  We need you to be a do-er, and when you find interesting questions, you never let them sit for long without answers. You examine the available data from the lens of proactively thinking about the needs of our customers and the business, anticipating customer needs and market trends. DAs are critical roles within our business and you know that you can make the greatest impact by gaining in-depth and comprehensive business domain knowledge, and judiciously applying your analytical talents to the domain.  In turn, we'll provide you with a mature analytics environment to work in. Reproducibility and full version control is a default in our systems so that you can easily learn from your teammates and build on foundations that have already been developed. Our collaborative team will ensure that you're more productive than you've ever been in a few short months.  BigQuery, dbt, Python, Github, Google Data Studio, Plotly Dash, Airflow, Google Cloud Build                    Show more",Full-time,Information Technology,,Data Analyst
Thinkmatch,6 days ago,56,Associate,"Information Technology and Services,Computer Software,Internet","The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for clients. Objectives of this Role Develop, implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks Identify trends and opportunities for growth through analysis of complex data sets Evaluate organizational methods and provide source-to-target mappings and information-model specification documents for data sets Create best-practice reports based on data mining, analysis, and visualization Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data Work directly with management and users to gather requirements, provide status updates, and build relationships Responsibilities Understand the day-to-day issues that our business faces, which can be better understood with data Compile and analyze data related to business' issues Develop clear visualizations to convey complicated data in a straightforward fashion Work with executives and other business leaders to identify opportunities for improvement Create reports for internal teams and/or external clients Collaborate with team members to collect and analyze data Use graphs, infographics and other methods to visualize data Structure large data sets to find usable information Work with a team of analysts and other associates to process information Create presentations and reports based on recommendations and findings Qualifications Bachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience 1 - 2 years' Data Analysis experience, Fresh Graduate are welcome to apply Experience using SQL and either Python or R. Good communication and social skills Problem solver and able to work under minimum supervision Thrives in a constantly evolving environment and introduces fresh opinions Has the curiosity to dig deep into data to get to the root of, and seek business problems Preferred Qualifications Experience with trends/forecasting analysis, cohort analysis, descriptive statistics (incl. EDA), and presenting/delivering them in business (non-technical) perspective. Experience with A/B testing or online experimentations is a plus. Experience with Statistical/ML modelling and its deployment is a plus. Knowledge of Machine Learning techniques such as Decision Trees, Clustering, Regression, etc. would be an advantage Thinkmatch was born from our concern and dreams to help every company and organization in Indonesia with innovation and optimization through data analytics. Our definition about Thinkmatch is about 'How data analytics can be applied in daily basis'. Show more",Full-time,Information Technology,,Data Analyst
